name Horizontal_STD Vertical_STD
BPM.34R8.B2 8.21e-02 8.23e-02
BPMS.2R8.B2 1.50e-01 1.32e-01
BPMWI.4R8.B2 1.76e-01 1.79e-01
BPMYB.5R8.B2 1.19e-01 1.22e-01
BPM_A.7R8.B2 1.31e-01 1.33e-01
BPM.9R8.B2 8.46e-02 8.98e-02
BPM.11R8.B2 8.34e-02 8.69e-02
BPM.13R8.B2 8.76e-02 9.90e-02
BPM.15R8.B2 8.75e-02 9.00e-02
BPM.17R8.B2 8.05e-02 8.35e-02
BPM.19R8.B2 8.21e-02 1.03e-01
BPM.21R8.B2 8.61e-02 8.46e-02
BPM.23R8.B2 8.67e-02 8.78e-02
BPM.25R8.B2 8.69e-02 8.73e-02
BPM.27R8.B2 8.31e-02 8.97e-02
BPM.29R8.B2 8.85e-02 9.09e-02
BPM.31R8.B2 8.60e-02 8.98e-02
BPM.33R8.B2 7.86e-02 7.70e-02
BPMSW.1L8.B2 1.87e-01 1.89e-01
BPMSX.4L8.B2 1.75e-01 1.64e-01
BPMYB.4L8.B2 1.18e-01 1.17e-01
BPM.6L8.B2 1.50e-01 1.52e-01
BPM.8L8.B2 8.50e-02 9.13e-02
BPM.10L8.B2 8.30e-02 8.72e-02
BPM.12L8.B2 8.17e-02 9.16e-02
BPM.14L8.B2 8.66e-02 8.64e-02
BPM.16L8.B2 8.11e-02 7.86e-02
BPM.18L8.B2 8.48e-02 8.81e-02
BPM.20L8.B2 8.54e-02 8.90e-02
BPM.22L8.B2 8.54e-02 8.80e-02
BPM.24L8.B2 8.35e-02 8.50e-02
BPM.26L8.B2 7.81e-02 8.61e-02
BPM.28L8.B2 8.30e-02 8.96e-02
BPM.30L8.B2 8.55e-02 9.00e-02
BPM.32L8.B2 7.87e-02 7.81e-02
BPMS.2L8.B2 1.56e-01 1.48e-01
BPMWB.4L8.B2 1.27e-01 1.31e-01
BPMWI.A5L8.B2 1.78e-01 1.77e-01
BPM.7L8.B2 1.19e-01 1.23e-01
BPM.9L8.B2 8.44e-02 8.93e-02
BPM.11L8.B2 8.19e-02 9.09e-02
BPM.13L8.B2 8.75e-02 8.08e-02
BPM.15L8.B2 7.97e-02 8.12e-02
BPM.17L8.B2 7.95e-02 8.15e-02
BPM.19L8.B2 8.95e-02 9.01e-02
BPM.21L8.B2 8.29e-02 8.66e-02
BPM.23L8.B2 8.74e-02 8.74e-02
BPM.25L8.B2 8.38e-02 8.28e-02
BPM.27L8.B2 8.59e-02 9.84e-02
BPM.29L8.B2 8.95e-02 8.49e-02
BPM.31L8.B2 8.52e-02 9.76e-02
BPM.33L8.B2 7.92e-02 7.74e-02
